test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
0.5735099,1.0881981,0.8379522,0.65584236,0,original,0,SVHN
0.49653023,0.5278083,0.8588396,0.84940547,0,original,1,SVHN
0.45301923,0.43986636,0.86962456,0.8737184,0,original,2,SVHN
0.41970602,0.37918013,0.87836176,0.8902051,0,original,3,SVHN
0.39392987,0.3297951,0.8869625,0.9053722,0,original,4,SVHN
0.5774788,1.0719889,0.83672357,0.66142386,1,original,0,SVHN
0.49123028,0.5288601,0.86088735,0.8500121,1,original,1,SVHN
0.44636133,0.44336754,0.8735836,0.87376386,1,original,2,SVHN
0.42324305,0.38726515,0.8786348,0.8888855,1,original,3,SVHN
0.41421178,0.34147456,0.88259387,0.9022781,1,original,4,SVHN
0.5696936,1.0555544,0.84191126,0.66803676,2,original,0,SVHN
0.4889284,0.5269196,0.86566556,0.85069466,2,original,1,SVHN
0.4545664,0.44228756,0.87139934,0.87412786,2,original,2,SVHN
0.42560542,0.38453043,0.8813652,0.8902809,2,original,3,SVHN
0.4045363,0.33790156,0.88982934,0.90364313,2,original,4,SVHN
0.5809636,1.0960472,0.8357679,0.6523843,3,original,0,SVHN
0.48763594,0.5323651,0.8623891,0.8488291,3,original,1,SVHN
0.44219628,0.4422203,0.87508535,0.8746284,3,original,2,SVHN
0.41282907,0.38319057,0.8819113,0.89006853,3,original,3,SVHN
0.39348742,0.33570194,0.88846415,0.904174,3,original,4,SVHN
0.5841051,1.1193386,0.83754265,0.64176726,4,original,0,SVHN
0.49509975,0.5397575,0.8589761,0.84655404,4,original,1,SVHN
0.45271274,0.45170853,0.8718089,0.8709428,4,original,2,SVHN
0.42105624,0.39160538,0.87836176,0.88682276,4,original,3,SVHN
0.40030214,0.34346205,0.8855973,0.8997907,4,original,4,SVHN
0.5949834,1.1081568,0.8277133,0.6495025,5,original,0,SVHN
0.5099326,0.5489224,0.8503754,0.8433234,5,original,1,SVHN
0.45710525,0.45355457,0.86662114,0.8699418,5,original,2,SVHN
0.420443,0.39190626,0.87836176,0.8862616,5,original,3,SVHN
0.4044757,0.34347972,0.88546073,0.8997149,5,original,4,SVHN
0.54939324,1.0542032,0.8449147,0.66721773,6,original,0,SVHN
0.4712354,0.50963855,0.8674403,0.85527515,6,original,1,SVHN
0.4321628,0.4217781,0.8787713,0.8792544,6,original,2,SVHN
0.40292016,0.3626598,0.890785,0.8963022,6,original,3,SVHN
0.38852742,0.31565183,0.8952901,0.90931565,6,original,4,SVHN
0.57866806,1.1113766,0.84122866,0.6479858,7,original,0,SVHN
0.5007554,0.5366492,0.8587031,0.84820724,7,original,1,SVHN
0.45961553,0.44946855,0.87017065,0.8714585,7,original,2,SVHN
0.42150277,0.3887576,0.8813652,0.8886883,7,original,3,SVHN
0.40452406,0.33956343,0.88464165,0.9018838,7,original,4,SVHN
0.5777606,1.0633575,0.8372696,0.6630619,8,original,0,SVHN
0.4860596,0.53188425,0.8634812,0.8484954,8,original,1,SVHN
0.4448163,0.44554874,0.87604094,0.87203485,8,original,2,SVHN
0.4208199,0.38607654,0.88150173,0.88855183,8,original,3,SVHN
0.4067353,0.33760968,0.8838225,0.9029151,8,original,4,SVHN
0.60201097,1.1218387,0.83017063,0.6432385,9,original,0,SVHN
0.50654614,0.5461033,0.8567918,0.84515864,9,original,1,SVHN
0.45919082,0.45277807,0.86948806,0.87127644,9,original,2,SVHN
0.42173907,0.38869035,0.8812287,0.8874295,9,original,3,SVHN
0.39686245,0.33793232,0.8880546,0.9020203,9,original,4,SVHN
0.6116317,1.1342885,0.8282594,0.6379755,10,original,0,SVHN
0.52733314,0.5631212,0.8499659,0.8395923,10,original,1,SVHN
0.48517963,0.47202337,0.86225253,0.8646636,10,original,2,SVHN
0.44473293,0.40937552,0.8744027,0.8819996,10,original,3,SVHN
0.41812223,0.35899714,0.8812287,0.8966511,10,original,4,SVHN
0.58145154,1.09434,0.8390444,0.6525966,11,original,0,SVHN
0.49155408,0.5330542,0.8632082,0.8477219,11,original,1,SVHN
0.44792378,0.4420834,0.87221843,0.8730814,11,original,2,SVHN
0.42164266,0.37988237,0.87713313,0.89023536,11,original,3,SVHN
0.40650454,0.33097562,0.8838225,0.904265,11,original,4,SVHN
0.60553443,1.1141737,0.8278498,0.64652973,12,original,0,SVHN
0.50020325,0.5611438,0.8567918,0.8386823,12,original,1,SVHN
0.4526753,0.461921,0.8668942,0.8658618,12,original,2,SVHN
0.42389184,0.39856437,0.8775427,0.8837742,12,original,3,SVHN
0.4001405,0.34954548,0.887372,0.89740944,12,original,4,SVHN
0.58095884,1.0951121,0.83754265,0.65368867,13,original,0,SVHN
0.49901268,0.5323211,0.8587031,0.8488594,13,original,1,SVHN
0.46233347,0.4472726,0.8683959,0.8719742,13,original,2,SVHN
0.42764425,0.39115614,0.8794539,0.88703513,13,original,3,SVHN
0.41057467,0.34609616,0.8850512,0.90003335,13,original,4,SVHN
0.5878474,1.142415,0.8378157,0.6340927,14,original,0,SVHN
0.49589252,0.5433672,0.8611604,0.846736,14,original,1,SVHN
0.45104188,0.45232686,0.872901,0.87201965,14,original,2,SVHN
0.4219869,0.39040992,0.88109213,0.8888248,14,original,3,SVHN
0.40153697,0.34024847,0.88709897,0.90279377,14,original,4,SVHN
0.42130116,0.61448216,0.88273036,0.84276223,0,WT,0,SVHN
0.38173208,0.30144298,0.89597267,0.91621673,0,WT,1,SVHN
0.38322255,0.23177266,0.8987031,0.93617666,0,WT,2,SVHN
0.39970633,0.19139016,0.89911264,0.9487654,0,WT,3,SVHN
0.42426583,0.16447121,0.8963823,0.9570315,0,WT,4,SVHN
0.4168371,0.59935904,0.8835495,0.8471,1,WT,0,SVHN
0.38550386,0.29018313,0.8922867,0.9195231,1,WT,1,SVHN
0.39572603,0.2199201,0.8955631,0.9399988,1,WT,2,SVHN
0.41595784,0.17970102,0.8963823,0.95322454,1,WT,3,SVHN
0.44648188,0.15332107,0.8951536,0.9609446,1,WT,4,SVHN
0.4152182,0.5922298,0.8851877,0.84858644,2,WT,0,SVHN
0.38745028,0.2820479,0.8955631,0.9221774,2,WT,1,SVHN
0.39153618,0.21157745,0.8999317,0.94265306,2,WT,2,SVHN
0.41428673,0.16995484,0.9004778,0.9551659,2,WT,3,SVHN
0.44817287,0.14266506,0.8982935,0.96388704,2,WT,4,SVHN
0.42259607,0.6078949,0.883686,0.8423224,3,WT,0,SVHN
0.39277637,0.29505458,0.89269626,0.9177031,3,WT,1,SVHN
0.4003807,0.22516695,0.8967918,0.93886125,3,WT,2,SVHN
0.42114097,0.18554953,0.8943345,0.95134383,3,WT,3,SVHN
0.44615933,0.15872541,0.89351535,0.95953405,3,WT,4,SVHN
0.42108783,0.60571814,0.8820478,0.84321725,4,WT,0,SVHN
0.39503524,0.29032898,0.8937884,0.920327,4,WT,1,SVHN
0.4011034,0.22077428,0.89651877,0.94030213,4,WT,2,SVHN
0.42270625,0.18055701,0.89542663,0.9534065,4,WT,3,SVHN
0.44861072,0.15401857,0.8937884,0.96135414,4,WT,4,SVHN
0.42821324,0.62546635,0.8817747,0.8372111,5,WT,0,SVHN
0.39905387,0.30768284,0.8887372,0.9154432,5,WT,1,SVHN
0.40765274,0.23901328,0.8931058,0.9340988,5,WT,2,SVHN
0.42970785,0.20023993,0.8924232,0.9461415,5,WT,3,SVHN
0.4614438,0.17346995,0.89037544,0.9545289,5,WT,4,SVHN
0.41844034,0.60642797,0.88273036,0.84385425,6,WT,0,SVHN
0.38203892,0.28974098,0.89351535,0.9204787,6,WT,1,SVHN
0.38888633,0.22142683,0.89911264,0.94024146,6,WT,2,SVHN
0.41037682,0.18202117,0.89843005,0.95272404,6,WT,3,SVHN
0.43917254,0.15556909,0.8955631,0.96027726,6,WT,4,SVHN
0.41668946,0.61233944,0.8830034,0.8407905,7,WT,0,SVHN
0.37904248,0.29151228,0.89542663,0.9195838,7,WT,1,SVHN
0.3903629,0.22053625,0.89665526,0.9404538,7,WT,2,SVHN
0.41328496,0.18019705,0.89706486,0.95307285,7,WT,3,SVHN
0.44822466,0.15369526,0.8924232,0.96068674,7,WT,4,SVHN
0.4201187,0.59883,0.8820478,0.8452193,8,WT,0,SVHN
0.38866755,0.28664142,0.89597267,0.92081237,8,WT,1,SVHN
0.4014322,0.215049,0.8982935,0.9419705,8,WT,2,SVHN
0.43401864,0.17390867,0.89488053,0.95505977,8,WT,3,SVHN
0.47077942,0.14686581,0.89419794,0.96317416,8,WT,4,SVHN
0.41306406,0.595405,0.8868259,0.8474489,9,WT,0,SVHN
0.38766387,0.2849,0.89542663,0.9215252,9,WT,1,SVHN
0.4037119,0.21615839,0.8951536,0.942016,9,WT,2,SVHN
0.43007383,0.1760621,0.8943345,0.9546654,9,WT,3,SVHN
0.45746708,0.14948618,0.89351535,0.9626282,9,WT,4,SVHN
0.42270294,0.6166279,0.88150173,0.83994114,10,WT,0,SVHN
0.38181838,0.29529917,0.8961092,0.91826427,10,WT,1,SVHN
0.38727343,0.2236302,0.89856654,0.93928593,10,WT,2,SVHN
0.40499493,0.18337004,0.8996587,0.95199597,10,WT,3,SVHN
0.42557186,0.15692268,0.89979523,0.96000427,10,WT,4,SVHN
0.415852,0.5965392,0.8805461,0.84916276,11,WT,0,SVHN
0.38788682,0.28806722,0.8914676,0.920691,11,WT,1,SVHN
0.3952945,0.21885018,0.89419794,0.9404083,11,WT,2,SVHN
0.41744587,0.17958912,0.8956997,0.95234483,11,WT,3,SVHN
0.44247782,0.15313447,0.8952901,0.9609446,11,WT,4,SVHN
0.4261288,0.61137885,0.88259387,0.8423679,12,WT,0,SVHN
0.39455032,0.2988642,0.8936519,0.91715705,12,WT,1,SVHN
0.40611422,0.23001565,0.8931058,0.93690467,12,WT,2,SVHN
0.42712224,0.19030723,0.89269626,0.9489474,12,WT,3,SVHN
0.45403194,0.16332942,0.8914676,0.9579567,12,WT,4,SVHN
0.41582376,0.60157484,0.8858703,0.84567434,13,WT,0,SVHN
0.3832086,0.2954716,0.89474404,0.9179154,13,WT,1,SVHN
0.39238834,0.22703017,0.8976109,0.9390433,13,WT,2,SVHN
0.41354764,0.18741858,0.8958362,0.95049447,13,WT,3,SVHN
0.44006777,0.16089901,0.8931058,0.9583662,13,WT,4,SVHN
0.4145807,0.6147054,0.8842321,0.839926,14,WT,0,SVHN
